"filename", "language", "Makefile", "C++", "comment", "blank", "total"
"s:\Repository of Things\Coding\C & C++\RayTracer\Makefile", "Makefile", 2, 0, 0, 0, 2
"s:\Repository of Things\Coding\C & C++\RayTracer\src\cpp\camera.cpp", "C++", 0, 204, 11, 35, 250
"s:\Repository of Things\Coding\C & C++\RayTracer\src\cpp\geometry.cpp", "C++", 0, 137, 3, 22, 162
"s:\Repository of Things\Coding\C & C++\RayTracer\src\cpp\main.cpp", "C++", 0, 25, 13, 11, 49
"s:\Repository of Things\Coding\C & C++\RayTracer\src\cpp\material.cpp", "C++", 0, 10, 0, 2, 12
"s:\Repository of Things\Coding\C & C++\RayTracer\src\cpp\maths.cpp", "C++", 0, 150, 0, 25, 175
"s:\Repository of Things\Coding\C & C++\RayTracer\src\cpp\raycast.cpp", "C++", 0, 48, 7, 12, 67
"s:\Repository of Things\Coding\C & C++\RayTracer\src\h\CImg.h", "C++", 0, 54989, 8636, 3933, 67558
"s:\Repository of Things\Coding\C & C++\RayTracer\src\h\camera.h", "C++", 0, 62, 0, 22, 84
"s:\Repository of Things\Coding\C & C++\RayTracer\src\h\geometry.h", "C++", 0, 33, 1, 14, 48
"s:\Repository of Things\Coding\C & C++\RayTracer\src\h\material.h", "C++", 0, 16, 0, 5, 21
"s:\Repository of Things\Coding\C & C++\RayTracer\src\h\maths.h", "C++", 0, 81, 0, 21, 102
"s:\Repository of Things\Coding\C & C++\RayTracer\src\h\raycast.h", "C++", 0, 15, 1, 7, 23
"Total", "-", 2, 55770, 8672, 4109, 68553